Year,predictprices
1970,231.1541410482023
1971,1051.1136715887114
1972,1871.0732021292206
1973,2691.0327326697297
1974,3510.992263210239
1975,4330.951793750748
1976,5150.911324291257
1977,5970.870854831766
1978,6790.8303853722755
1979,7610.789915912785
1980,8430.749446453294
1981,9250.708976993803
1982,10070.668507534312
1983,10890.628038074821
1984,11710.58756861533
1985,12530.54709915584
1986,13350.506629696349
1987,14170.466160236858
1988,14990.425690777367
1989,15810.385221317876
1990,16630.344751858385
1991,17450.304282398894
1992,18270.263812939404
1993,19090.223343479913
1994,19910.182874020422
1995,20730.14240456093
1996,21550.10193510144
1997,22370.06146564195
1998,23190.02099618246
1999,24009.980526722968
2000,24829.940057263477
2001,25649.899587803986
2002,26469.859118344495
2003,27289.818648885004
2004,28109.778179425513
2005,28929.737709966023
2006,29749.69724050653
2007,30569.65677104704
2008,31389.61630158755
2009,32209.57583212806
2010,33029.53536266857
2011,33849.49489320908
2012,34669.45442374959
2013,35489.413954290096
2014,36309.373484830605
2015,37129.333015371114
2016,37949.29254591162
2017,38769.25207645213
2018,39589.21160699264
2019,40409.17113753315
2020,41229.13066807366
2021,42049.09019861417
2022,42869.04972915468
2023,43689.00925969519
2024,44508.968790235696
2025,45328.928320776206
2026,46148.887851316715
2027,46968.847381857224
2028,47788.80691239773
2029,48608.76644293824
2030,49428.72597347875
